Program,xPONENT,,MAGPIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build,4.2.1324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,11/1/2013,2:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,MAGPX10298001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batch,110113CS-1 Hu 30-plex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ComputerName,D8J2FKN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolName,Human Mag 30-Plex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,IVGN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BatchStartTime,11/1/2013 16:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BatchStopTime,11/1/2013 17:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,30,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolReporterGain,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
